Section,Variable Name,Data Type,Description,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report,facility,Text,Facility Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report,county,Text,County that facility is located,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report,reportingday,Date,Reporting date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report,created_on,Date,Date record was created,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,all_inpatient_cap,Integer,"Total number of staffed inpatient beds that are currently set-up, staffed and are or could be used for a patient within the reporting period. This variable sums the following: adult_acute_cap, adult_icu_cap, ped_acute_cap, ped_icu_cap, neon_icu_cap, nursery_cap, surge_cap, other_cap. Excludes: Emergency Department Boarders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,all_inpatient_occ,Integer,"Total number of inpatient beds that are occupied by a patient within the reporting period. This variable sums the following: adult_acute_occ, adult_icu_occ, ped_acute_occ, ped_icu_occ, neon_icu_occ, nursery_occ, surge_occ, other_occ. Excludes: Emergency Department Boarders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,adult_acute_cap,Integer,"Number of staffed Adult acute care inpatient beds that are currently set-up, staffed and are or could be used for a patient within the reporting period","Adult Medical-Surgical Beds: These are standard hospital beds that are used for the care of adult patients with medical and surgical conditions. They are typically used for patients who are stable and do not require critical care. Includes progressive care, telemetry units (also called step-down unit, intermediate care unit, transitional care unit or telemetry unit) may be used in varying ways in different facilities. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,adult_acute_occ,Integer,"Number of staffed Adult Acute Care Beds that are occupied (i.e., filled by a patient for any reason)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,adult_icu_cap,Integer,"Number of Adult ICU beds that are currently set-up, staffed and are or could be used for a patient within the reporting period. This count includes occupied and unoccupied ICU beds. Note: All ICU beds should be considered, regardless of the unit on which the bed is housed. This includes ICU beds located in non-ICU locations, such as mixed acuity units. ","Adult critical care/ICU Beds: These beds are intended for adult patients with life-threatening conditions who require continuous monitoring and support. They are equiped with advanced monitoring and life-support equipment. Can support critically ill/injured adult patients, including ventilator support. Adult intensive care, critical care, and cardiac care untis all treat patients with critical conditions. Adult burn ICU beds either approved by the Amerivan Burns Association or self-designated. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed Occupancy,adult_icu_occ,Integer,Number of Adult staffed ICU beds that are occupied.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
